Date,Home Team,Away Team,Predicted Winner,Home Win %,Confidence,Actual Winner,team_wpct,opp_wpct,team_rpg,opp_rpg,pitcher_era,opp_pitcher_era,bullpen_era,opp_bullpen_era,park_factor,temp,wind_speed,wind_dir_out,home,Game Time,Model Edge,pitcher_recent_delta,opp_pitcher_recent_delta
2026-05-07,New York Yankees,Texas Rangers,New York Yankees,82.44,Low,New York Yankees,0.684,0.459,5.5,3.76,3.2,5.77,3.04,3.85,1.08,60.8,9.1,0,1,,,,
2026-05-07,Washington Nationals,Minnesota Twins,Washington Nationals,53.03,High,Washington Nationals,0.474,0.421,5.39,4.82,5.5,6.9,4.83,4.8,1.0,58.4,1.6,0,1,,,,
2026-05-07,Kansas City Royals,Cleveland Guardians,Kansas City Royals,67.0,Low,Cleveland Guardians,0.447,0.513,4.13,4.15,4.31,6.1,4.35,4.01,1.0,64.0,14.4,0,1,,,,
2026-05-07,Chicago Cubs,Cincinnati Reds,Chicago Cubs,54.9,Medium,Chicago Cubs,0.684,0.526,5.47,4.11,2.35,6.0,3.83,4.59,1.0,49.2,13.1,1,1,,,,
2026-05-07,Colorado Rockies,New York Mets,Colorado Rockies,70.89,Low,Colorado Rockies,0.378,0.389,4.24,3.67,4.41,3.75,4.68,3.92,1.3,66.8,12.8,0,1,,,,
2026-05-07,Arizona Diamondbacks,Pittsburgh Pirates,Pittsburgh Pirates,36.23,Low,Pittsburgh Pirates,0.486,0.541,4.54,4.89,4.61,3.61,4.81,3.73,1.0,90.3,0.0,0,1,,,,
2026-05-07,Philadelphia Phillies,Athletics,Athletics,33.14,Low,Athletics,0.459,0.5,3.97,4.25,4.48,3.31,4.47,4.67,1.0,65.5,7.6,0,1,,,,
2026-05-07,Miami Marlins,Baltimore Orioles,Miami Marlins,63.78,Low,Miami Marlins,0.432,0.459,4.24,4.62,2.98,5.29,4.09,4.88,1.0,84.2,0.0,0,1,,,,
2026-05-07,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays,42.01,High,Tampa Bay Rays,0.432,0.667,4.03,4.42,4.26,5.86,4.0,3.55,1.0,59.8,10.6,1,1,,,,
2026-05-07,San Diego Padres,St. Louis Cardinals,San Diego Padres,51.93,Medium,St. Louis Cardinals,0.611,0.583,4.5,4.83,3.33,5.21,4.21,4.54,0.9,65.1,8.4,0,1,,,,
2026-05-08,Cincinnati Reds,Houston Astros,Cincinnati Reds,69.49,Low,,0.526,0.395,4.11,4.87,4.0,5.31,4.59,5.82,1.15,70.8,11.4,1,1,,,0.0,-0.23
2026-05-08,Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,68.19,Low,,0.447,0.395,3.89,4.29,5.14,2.99,4.67,4.67,1.0,68.6,11.0,0,1,,,-2.29,0.43
2026-05-08,Baltimore Orioles,Athletics,Athletics,32.85,Low,,0.447,0.514,4.58,4.46,4.65,5.42,4.83,4.57,1.0,70.0,7.0,0,1,,,0.6,0.19
2026-05-08,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,57.22,Medium,,0.432,0.395,3.97,4.47,3.27,3.86,4.23,4.47,1.0,51.7,0.0,0,1,,,-0.24,1.24
2026-05-08,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays,26.28,Low,,0.421,0.676,4.03,4.51,5.38,2.69,4.11,3.54,1.0,56.5,10.4,1,1,,,-2.65,3.18
2026-05-08,Miami Marlins,Washington Nationals,Washington Nationals,38.51,Low,,0.447,0.474,4.24,5.39,4.0,3.19,4.06,4.83,1.0,83.3,0.0,0,1,,,0.0,-0.26
2026-05-08,Cleveland Guardians,Minnesota Twins,Cleveland Guardians,50.21,Medium,,0.513,0.421,4.15,4.82,2.92,4.0,4.01,4.8,1.0,55.6,5.5,0,1,,,0.31,-0.64
2026-05-08,Kansas City Royals,Detroit Tigers,Detroit Tigers,42.56,Low,,0.447,0.474,4.13,4.34,3.45,3.98,4.35,3.88,1.0,63.8,1.6,1,1,,,0.03,-2.03
2026-05-08,Chicago White Sox,Seattle Mariners,Chicago White Sox,62.97,Low,,0.459,0.474,4.19,4.03,2.98,3.31,4.23,3.63,1.0,70.0,7.0,0,1,,,-0.23,1.0
2026-05-08,Milwaukee Brewers,New York Yankees,New York Yankees,42.6,Medium,,0.543,0.684,5.17,5.5,3.12,2.11,3.6,3.04,1.0,65.3,0.0,0,1,,,-0.22,2.27
2026-05-08,Texas Rangers,Chicago Cubs,Chicago Cubs,29.1,Low,,0.459,0.684,3.76,5.47,4.25,2.34,3.85,3.83,1.0,70.2,0.0,0,1,,,2.29,-1.79
2026-05-08,Arizona Diamondbacks,New York Mets,Arizona Diamondbacks,57.37,Medium,,0.472,0.378,4.47,3.62,8.66,2.73,4.78,4.01,1.0,93.0,0.0,0,1,,,-7.45,0.34
2026-05-08,San Diego Padres,St. Louis Cardinals,St. Louis Cardinals,47.51,Medium,,0.595,0.595,4.41,4.76,2.81,4.33,4.15,4.45,0.9,66.9,4.4,0,1,,,0.0,-1.9
2026-05-08,Los Angeles Dodgers,Atlanta Braves,Atlanta Braves,49.19,High,,0.622,0.684,5.3,5.61,4.55,3.24,3.16,3.22,1.0,70.0,7.0,0,1,,,-0.05,-1.3
2026-05-08,San Francisco Giants,Pittsburgh Pirates,Pittsburgh Pirates,37.97,Low,,0.378,0.553,3.11,4.87,4.0,5.03,3.96,3.7,0.92,56.4,14.8,1,1,,,0.0,-0.56
