Date,Home Team,Away Team,Predicted Winner,Home Win %,Confidence,Actual Winner,team_wpct,opp_wpct,team_rpg,opp_rpg,pitcher_era,opp_pitcher_era,bullpen_era,opp_bullpen_era,park_factor,temp,wind_speed,wind_dir_out,home,Game Time,Model Edge,pitcher_recent_delta,opp_pitcher_recent_delta,Correct?
5/7/26,New York Yankees,Texas Rangers,New York Yankees,82.44,Low,New York Yankees,0.684,0.459,5.5,3.76,3.2,5.77,3.04,3.85,1.08,60.8,9.1,0,1,,,,,✓ Correct
5/7/26,Washington Nationals,Minnesota Twins,Washington Nationals,53.03,High,Washington Nationals,0.474,0.421,5.39,4.82,5.5,6.9,4.83,4.8,1,58.4,1.6,0,1,,,,,✓ Correct
5/7/26,Kansas City Royals,Cleveland Guardians,Kansas City Royals,67,Low,Cleveland Guardians,0.447,0.513,4.13,4.15,4.31,6.1,4.35,4.01,1,64,14.4,0,1,,,,,✗ Wrong
5/7/26,Chicago Cubs,Cincinnati Reds,Chicago Cubs,54.9,Medium,Chicago Cubs,0.684,0.526,5.47,4.11,2.35,6,3.83,4.59,1,49.2,13.1,1,1,,,,,✓ Correct
5/7/26,Colorado Rockies,New York Mets,Colorado Rockies,70.89,Low,Colorado Rockies,0.378,0.389,4.24,3.67,4.41,3.75,4.68,3.92,1.3,66.8,12.8,0,1,,,,,✓ Correct
5/7/26,Arizona Diamondbacks,Pittsburgh Pirates,Pittsburgh Pirates,36.23,Low,Pittsburgh Pirates,0.486,0.541,4.54,4.89,4.61,3.61,4.81,3.73,1,90.3,0,0,1,,,,,✓ Correct
5/7/26,Philadelphia Phillies,Athletics,Athletics,33.14,Low,Athletics,0.459,0.5,3.97,4.25,4.48,3.31,4.47,4.67,1,65.5,7.6,0,1,,,,,✓ Correct
5/7/26,Miami Marlins,Baltimore Orioles,Miami Marlins,63.78,Low,Miami Marlins,0.432,0.459,4.24,4.62,2.98,5.29,4.09,4.88,1,84.2,0,0,1,,,,,✓ Correct
5/7/26,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays,42.01,High,Tampa Bay Rays,0.432,0.667,4.03,4.42,4.26,5.86,4,3.55,1,59.8,10.6,1,1,,,,,✓ Correct
5/7/26,San Diego Padres,St. Louis Cardinals,San Diego Padres,51.93,Medium,St. Louis Cardinals,0.611,0.583,4.5,4.83,3.33,5.21,4.21,4.54,0.9,65.1,8.4,0,1,,,,,✗ Wrong
